id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_061	23	24	5.976039439	0.249001643	1	4	24	24	0.097049074	-0.040932495	480	480	1.000000000	24	21	0.875000000	480	425	0.885416667	480	0.513324321	0.091703824	4487	4083	0.909962113
case_062	20	24	1.224529137	0.051022047	1	24	24	24	0.017927583	0.005555925	480	475	0.989583333	24	24	1.000000000	475	420	0.884210526	475	0.549149329	0.066421936	4405	3966	0.900340522
case_063	21	24	6.867849913	0.286160413	1	23	24	24	0.110883882	-0.100936272	480	479	0.997916667	24	23	0.958333333	479	426	0.889352818	479	0.475707335	0.128718807	4481	4014	0.895782191
case_064	19	24	3.400694754	0.141695615	0	0	24	24	0.045912983	-0.044476783	480	478	0.995833333	24	23	0.958333333	478	430	0.899581590	478	0.522919137	0.412144750	4463	4059	0.909477930
case_065	20	24	4.025403890	0.167725162	1	10	24	24	0.077436231	-0.006919118	480	476	0.991666667	24	22	0.916666667	476	426	0.894957983	476	0.515662034	0.141217333	4403	3967	0.900976607
case_066	22	24	6.839025077	0.284959378	1	11	24	24	0.075799547	-0.036769076	480	479	0.997916667	24	21	0.875000000	479	433	0.903966597	479	0.440538095	0.149910241	4487	4117	0.917539559
case_067	22	24	3.291709201	0.137154550	1	18	24	24	0.069292390	-0.022126925	480	478	0.995833333	24	23	0.958333333	478	416	0.870292887	478	0.487094820	-0.007585267	4455	3974	0.892031425
case_068	25	24	3.053261910	0.127219246	1	24	24	24	0.044808322	0.005927579	480	479	0.997916667	24	24	1.000000000	479	424	0.885177453	479	0.401630356	0.112813597	4464	4103	0.919130824
case_069	25	24	13.954019087	0.581417462	0	0	24	24	0.233018718	-0.218791449	480	477	0.993750000	24	21	0.875000000	477	403	0.844863732	477	0.749203427	-0.312106797	4402	3800	0.863243980
case_070	28	24	1.625777920	0.067740747	1	24	24	24	0.030857342	0.012147995	480	472	0.983333333	24	24	1.000000000	472	418	0.885593220	472	0.526474100	0.350698164	4347	3878	0.892109501
case_071	26	24	5.062992347	0.210958014	0	0	24	24	0.111643543	-0.063457399	480	478	0.995833333	24	23	0.958333333	478	423	0.884937238	478	0.470397841	0.202812117	4439	4000	0.901103852
case_072	23	24	2.467564632	0.102815193	1	24	24	24	0.027630884	0.000516696	480	479	0.997916667	24	24	1.000000000	479	435	0.908141962	479	0.442174073	-0.013629293	4478	4075	0.910004466
