id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	22	24	2.548861837	0.106202577	1	24	24	24	0.020318111	0.006600294	480	477	0.993750000	24	24	1.000000000	477	445	0.932914046	477	0.357479089	-0.168258298	4432	4100	0.925090253
case_027	21	24	4.702061444	0.195919227	1	24	24	24	0.030380865	0.005098701	480	480	1.000000000	24	24	1.000000000	480	440	0.916666667	480	0.241981230	0.047830969	4488	4178	0.930926916
case_028	23	24	4.331505073	0.180479378	1	17	24	24	0.031985149	-0.025029831	480	480	1.000000000	24	23	0.958333333	480	444	0.925000000	480	0.218163944	-0.010651234	4472	4184	0.935599284
case_029	24	24	4.634289455	0.193095394	1	24	24	24	0.031839377	0.009659374	480	478	0.995833333	24	24	1.000000000	478	435	0.910041841	478	0.289966617	0.018005337	4431	4112	0.928007222
case_030	28	24	2.588073596	0.107836400	0	0	24	24	0.023881463	-0.008617554	480	479	0.997916667	24	23	0.958333333	479	453	0.945720251	479	0.303962402	-0.032413505	4481	4224	0.942646731
case_031	25	24	1.154705266	0.048112719	1	24	24	24	0.011420346	-0.001663660	480	467	0.972916667	24	24	1.000000000	467	428	0.916488223	467	0.361313462	-0.175170658	4251	3928	0.924017878
case_032	22	24	7.013318695	0.292221612	0	0	24	24	0.090924069	-0.083532398	480	480	1.000000000	24	20	0.833333333	480	455	0.947916667	480	0.299974777	0.003095109	4478	4227	0.943948191
case_033	21	24	6.504227963	0.271009498	0	0	24	24	0.088949644	-0.067156960	480	478	0.995833333	24	22	0.916666667	478	445	0.930962343	478	0.290843825	0.062501320	4463	4206	0.942415416
case_034	26	26	16.212349190	0.623551892	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_035	26	24	2.358936569	0.098289024	1	24	24	24	0.036516427	-0.005486082	480	478	0.995833333	24	24	1.000000000	478	452	0.945606695	478	0.292283533	0.082420785	4451	4213	0.946528870
case_036	25	24	3.734034094	0.155584754	1	24	24	24	0.018581407	0.002934820	480	474	0.987500000	24	24	1.000000000	474	438	0.924050633	474	0.376458190	-0.115895162	4374	4033	0.922039323
case_037	24	24	5.136547252	0.214022802	1	16	24	24	0.030307264	0.006301276	480	478	0.995833333	24	23	0.958333333	478	453	0.947698745	478	0.301109491	-0.008941777	4475	4227	0.944581006
case_038	29	24	6.378754850	0.265781452	1	8	24	24	0.048290694	-0.002104940	480	478	0.995833333	24	23	0.958333333	478	450	0.941422594	478	0.317637852	-0.169341808	4453	4200	0.943184370
case_039	27	24	7.909334695	0.329555612	1	20	24	24	0.076529055	0.015762919	480	473	0.985416667	24	23	0.958333333	473	432	0.913319239	473	0.362718187	-0.065148521	4372	3997	0.914226898
case_040	27	24	5.340390593	0.222516275	1	24	24	24	0.031040081	0.002045126	480	479	0.997916667	24	24	1.000000000	479	443	0.924843424	479	0.270244583	0.002838015	4472	4222	0.944096601
case_041	21	24	3.893205730	0.162216905	1	24	24	24	0.041392559	0.007971088	480	479	0.997916667	24	24	1.000000000	479	436	0.910229645	479	0.435361440	-0.306751166	4480	4150	0.926339286
case_042	20	24	11.622925920	0.484288580	1	7	24	24	0.071554468	0.016174242	480	480	1.000000000	24	21	0.875000000	480	448	0.933333333	480	0.257685039	0.054634166	4478	4170	0.931219294
case_043	24	24	1.259230302	0.052467929	1	24	24	24	0.021761294	-0.021636564	480	466	0.970833333	24	24	1.000000000	466	409	0.877682403	466	0.560346494	-0.182826845	4231	3793	0.896478374
case_044	25	24	2.564082743	0.106836781	1	24	24	24	0.017766200	-0.011610228	480	480	1.000000000	24	24	1.000000000	480	442	0.920833333	480	0.293101102	0.158899883	4490	4220	0.939866370
case_045	25	24	4.946059915	0.206085830	1	24	24	24	0.026261176	0.002795327	480	480	1.000000000	24	24	1.000000000	480	450	0.937500000	480	0.324656437	-0.090396068	4467	4069	0.910902171
case_046	25	24	2.612694643	0.108862277	1	22	24	24	0.038627381	-0.030227543	480	478	0.995833333	24	23	0.958333333	478	441	0.922594142	478	0.346556224	0.285482549	4448	4162	0.935701439
case_047	22	24	7.021351492	0.292556312	1	4	24	24	0.028166420	-0.005100142	480	479	0.997916667	24	22	0.916666667	479	441	0.920668058	479	0.269950965	-0.120884798	4470	4196	0.938702461
case_048	24	24	4.860231116	0.202509630	1	21	24	24	0.036115618	-0.011299255	480	476	0.991666667	24	23	0.958333333	476	441	0.926470588	476	0.489516147	-0.261957502	4408	4022	0.912431942
case_049	26	24	1.725451786	0.071893824	1	24	24	24	0.014153858	-0.009693978	480	479	0.997916667	24	24	1.000000000	479	447	0.933194154	479	0.263646087	-0.070210588	4460	4172	0.935426009
case_050	28	24	6.158182951	0.256590956	1	18	24	24	0.059238150	-0.017861369	480	478	0.995833333	24	23	0.958333333	478	446	0.933054393	478	0.336995388	-0.137776133	4474	4197	0.938086723
case_051	24	24	7.851506973	0.327146124	1	12	24	24	0.061609795	-0.034479896	480	478	0.995833333	24	23	0.958333333	478	446	0.933054393	478	0.291390269	0.104478725	4448	4165	0.936375899
case_052	22	24	6.871142875	0.286297620	0	0	24	24	0.056179425	-0.035874135	480	479	0.997916667	24	23	0.958333333	479	445	0.929018789	479	0.331950807	-0.021707202	4464	4137	0.926747312
case_053	25	29	30.465010423	1.050517601	1	23	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_054	26	24	5.767287722	0.240303655	1	1	24	24	0.040493268	0.001913734	480	479	0.997916667	24	23	0.958333333	479	448	0.935281837	479	0.295129983	-0.099776718	4470	4160	0.930648770
case_055	30	24	8.290546641	0.345439443	0	0	24	24	0.185426735	-0.141861280	480	480	1.000000000	24	23	0.958333333	480	409	0.852083333	480	0.667236657	-0.010770352	4496	3789	0.842749110
case_056	24	24	2.086238905	0.086926621	1	24	24	24	0.015003090	0.000609083	480	477	0.993750000	24	24	1.000000000	477	444	0.930817610	477	0.285621778	0.115179410	4439	4170	0.939400766
case_057	27	24	3.545807824	0.147741993	1	24	24	24	0.028685759	0.011730505	480	478	0.995833333	24	24	1.000000000	478	445	0.930962343	478	0.266076395	-0.079836352	4446	4207	0.946243815
case_058	28	26	17.597339239	0.676820740	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_059	26	24	7.033294788	0.293053950	1	9	24	24	0.036145400	-0.006979720	480	478	0.995833333	24	22	0.916666667	478	441	0.922594142	478	0.285156243	-0.088891390	4453	4210	0.945430047
case_060	23	24	1.419573778	0.059148907	1	24	24	24	0.015769546	-0.015740118	480	474	0.987500000	24	24	1.000000000	474	437	0.921940928	474	0.315299032	0.053808258	4379	4051	0.925097054
case_061	23	24	6.117523532	0.254896814	1	5	24	24	0.078269980	-0.046827666	480	480	1.000000000	24	21	0.875000000	480	443	0.922916667	480	0.304993711	0.041108901	4487	4199	0.935814575
case_062	20	24	1.429268811	0.059552867	1	24	24	24	0.026895994	-0.002974895	480	475	0.989583333	24	24	1.000000000	475	441	0.928421053	475	0.428469705	0.328514473	4405	4112	0.933484677
case_063	21	24	5.025100716	0.209379196	1	1	24	24	0.059936485	-0.024155055	480	479	0.997916667	24	23	0.958333333	479	443	0.924843424	479	0.321848372	-0.143156952	4481	4196	0.936398125
case_064	19	24	3.162288812	0.131762034	0	0	24	24	0.046360863	-0.034543202	480	478	0.995833333	24	23	0.958333333	478	444	0.928870293	478	0.377626176	0.288981641	4463	4187	0.938158190
case_065	20	24	3.139743533	0.130822647	1	10	24	24	0.056608247	0.029983397	480	476	0.991666667	24	23	0.958333333	476	446	0.936974790	476	0.329232427	0.148659856	4403	4133	0.938678174
case_066	22	24	6.307021570	0.262792565	1	11	24	24	0.032879072	-0.014602263	480	479	0.997916667	24	21	0.875000000	479	454	0.947807933	479	0.252000447	-0.101464443	4487	4261	0.949632271
case_067	22	24	2.633611650	0.109733819	1	24	24	24	0.025647189	0.005293806	480	478	0.995833333	24	24	1.000000000	478	448	0.937238494	478	0.254163492	-0.101331512	4455	4191	0.940740741
case_068	25	24	3.087802892	0.128658454	1	24	24	24	0.036002178	0.004488371	480	479	0.997916667	24	24	1.000000000	479	442	0.922755741	479	0.366442369	-0.214518631	4464	4195	0.939740143
case_069	25	24	11.038594208	0.459941425	0	0	24	24	0.145137659	-0.097315413	480	477	0.993750000	24	22	0.916666667	477	426	0.893081761	477	0.606608143	-0.296638647	4402	3982	0.904588823
case_070	28	24	1.720974457	0.071707269	1	24	24	24	0.016230599	0.008181473	480	472	0.983333333	24	24	1.000000000	472	430	0.911016949	472	0.386466538	0.144703002	4347	3983	0.916264090
case_071	26	24	4.718675221	0.196611468	0	0	24	24	0.079936965	-0.049110852	480	478	0.995833333	24	23	0.958333333	478	445	0.930962343	478	0.299783187	0.025429179	4439	4166	0.938499662
case_072	23	24	2.309418037	0.096225752	1	24	24	24	0.016497307	0.007106138	480	479	0.997916667	24	24	1.000000000	479	445	0.929018789	479	0.314386932	0.026654695	4478	4173	0.931889236
case_073	21	24	4.000017272	0.166667386	1	24	24	24	0.039048837	0.000850493	480	475	0.989583333	24	24	1.000000000	475	436	0.917894737	475	0.390462172	0.197811848	4403	4046	0.918918919
case_074	20	24	4.163328484	0.173472020	1	16	24	24	0.026133446	-0.001075019	480	480	1.000000000	24	23	0.958333333	480	451	0.939583333	480	0.268146827	0.013308138	4482	4234	0.944667559
case_075	20	24	4.483845413	0.186826892	1	11	24	24	0.033277455	-0.015393187	480	478	0.995833333	24	23	0.958333333	478	437	0.914225941	478	0.344174270	0.076124373	4442	4139	0.931787483
case_076	27	24	3.549869996	0.147911250	1	24	24	24	0.034684976	0.007035703	480	477	0.993750000	24	24	1.000000000	477	442	0.926624738	477	0.397437323	-0.045127959	4423	4032	0.911598463
case_077	25	24	7.864722748	0.327696781	1	12	24	24	0.055650769	-0.025587507	480	479	0.997916667	24	23	0.958333333	479	451	0.941544885	479	0.285568972	0.115003179	4479	4235	0.945523554
case_078	31	24	2.505447868	0.104393661	1	24	24	24	0.030666599	0.002893981	480	479	0.997916667	24	24	1.000000000	479	434	0.906054280	479	0.414542232	-0.061782992	4455	4026	0.903703704
case_079	25	26	20.846310052	0.801781156	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_080	19	39	68.477333814	1.755829072	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_081	19	24	8.014518865	0.333938286	1	24	24	24	0.058107304	0.010039758	480	477	0.993750000	24	24	1.000000000	477	443	0.928721174	477	0.353949655	-0.144524768	4425	4089	0.924067797
case_082	21	24	5.026730508	0.209447104	1	24	24	24	0.031496919	-0.015448099	480	480	1.000000000	24	24	1.000000000	480	454	0.945833333	480	0.234992543	-0.071757317	4502	4253	0.944691248
case_083	25	50	113.448325716	2.268966514	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_084	29	61	104.617039946	1.715033442	1	10	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_085	24	24	5.923159157	0.246798298	1	12	24	24	0.031604548	-0.007688284	480	478	0.995833333	24	23	0.958333333	478	451	0.943514644	478	0.267358543	0.119425698	4446	4197	0.943994602
