id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	22	24	3.092270104	0.128844588	1	15	24	24	0.051869429	-0.016041717	480	477	0.993750000	24	23	0.958333333	477	432	0.905660377	477	0.444172526	-0.056863734	4432	3978	0.897563177
case_027	21	24	5.478307727	0.228262822	1	9	24	24	0.048407293	-0.027244894	480	480	1.000000000	24	23	0.958333333	480	412	0.858333333	480	0.649143646	-0.417177873	4488	3954	0.881016043
case_028	23	24	4.225194648	0.176049777	1	2	24	24	0.053131693	-0.020600230	480	480	1.000000000	24	23	0.958333333	480	425	0.885416667	480	0.443831916	-0.067842696	4472	3984	0.890876565
case_029	24	24	5.204075287	0.216836470	1	14	24	24	0.053142361	-0.014081702	480	478	0.995833333	24	23	0.958333333	478	415	0.868200837	478	0.445982187	-0.121227395	4431	3911	0.882645001
case_030	28	24	3.254072479	0.135586353	1	13	24	24	0.050227552	-0.036367507	480	479	0.997916667	24	23	0.958333333	479	424	0.885177453	479	0.515296949	0.121161348	4481	4024	0.898013836
case_031	25	24	0.898007138	0.037416964	1	24	24	24	0.015432013	0.009032096	480	467	0.972916667	24	24	1.000000000	467	408	0.873661670	467	0.508654220	0.181365446	4251	3793	0.892260645
case_032	22	24	4.526836191	0.188618175	1	24	24	24	0.079883960	0.020071040	480	480	1.000000000	24	24	1.000000000	480	442	0.920833333	480	0.422447986	0.155868682	4478	4023	0.898392139
case_033	21	24	5.751631576	0.239651316	0	0	24	24	0.065283594	-0.035798777	480	478	0.995833333	24	22	0.916666667	478	426	0.891213389	478	0.486429355	0.094349259	4463	4036	0.904324445
case_034	26	26	13.983545321	0.537828666	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_035	26	24	4.871384822	0.202974368	1	10	24	24	0.127205112	-0.110171426	480	478	0.995833333	24	22	0.916666667	478	423	0.884937238	478	0.464831350	0.143716264	4451	4063	0.912828578
case_036	25	24	5.924984520	0.246874355	0	0	24	24	0.129429890	-0.088354781	480	474	0.987500000	24	22	0.916666667	474	420	0.886075949	474	0.574336214	-0.043170525	4374	3919	0.895976223
case_037	24	24	5.088623792	0.212025991	1	24	24	24	0.046599321	0.008298087	480	478	0.995833333	24	24	1.000000000	478	431	0.901673640	478	0.427590377	0.029338529	4475	4067	0.908826816
case_038	29	24	7.094308863	0.295596203	1	16	24	24	0.040128573	-0.031919691	480	478	0.995833333	24	23	0.958333333	478	413	0.864016736	478	0.495536580	0.222287648	4453	4031	0.905232428
case_039	27	24	8.791453222	0.366310551	1	12	24	24	0.079824245	-0.020992019	480	473	0.985416667	24	23	0.958333333	473	409	0.864693446	473	0.566109883	-0.131209526	4372	3738	0.854986276
case_040	27	24	5.264767751	0.219365323	1	23	24	24	0.050343303	0.005196078	480	479	0.997916667	24	23	0.958333333	479	427	0.891440501	479	0.388107136	0.147646014	4472	4111	0.919275492
case_041	21	24	5.653607302	0.235566971	1	8	24	24	0.071962978	-0.065378978	480	479	0.997916667	24	23	0.958333333	479	423	0.883089770	479	0.530023623	-0.021480004	4480	3978	0.887946429
case_042	20	24	11.306784268	0.471116011	1	18	24	24	0.099759481	0.029346811	480	480	1.000000000	24	23	0.958333333	480	431	0.897916667	480	0.424059589	-0.236725928	4478	4027	0.899285395
case_043	24	24	0.607813603	0.025325567	1	24	24	24	0.009551253	0.005505798	480	466	0.970833333	24	24	1.000000000	466	408	0.875536481	466	0.549709113	-0.316004675	4231	3655	0.863861971
case_044	25	24	2.529748177	0.105406174	1	24	24	24	0.015594648	-0.010179621	480	480	1.000000000	24	24	1.000000000	480	431	0.897916667	480	0.457082916	0.027578386	4490	4009	0.892873051
