id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	22	24	3.069404888	0.127891870	1	18	24	24	0.021826653	-0.015089000	480	477	0.993750000	24	23	0.958333333	477	449	0.941299790	477	0.362155481	-0.078878253	4432	4178	0.942689531
case_027	21	24	5.241393770	0.218391407	0	0	24	24	0.031746619	-0.017373479	480	480	1.000000000	24	23	0.958333333	480	432	0.900000000	480	0.421157941	-0.337151626	4488	4207	0.937388592
case_028	23	24	4.296337561	0.179014065	1	2	24	24	0.038247295	-0.023564518	480	480	1.000000000	24	23	0.958333333	480	452	0.941666667	480	0.191268294	0.022171397	4472	4220	0.943649374
case_029	24	24	4.858053636	0.202418901	1	24	24	24	0.015608292	0.000335866	480	478	0.995833333	24	24	1.000000000	478	442	0.924686192	478	0.266837058	-0.113879776	4431	4158	0.938388626
case_030	28	24	2.225569485	0.092732062	1	24	24	24	0.013417762	0.006486784	480	479	0.997916667	24	24	1.000000000	479	453	0.945720251	479	0.239677123	-0.028029373	4481	4237	0.945547869
case_031	25	24	0.961867486	0.040077812	1	24	24	24	0.007652971	0.006371248	480	467	0.972916667	24	24	1.000000000	467	435	0.931477516	467	0.265310917	-0.093010350	4251	3994	0.939543637
case_032	22	24	4.867982487	0.202832604	1	10	24	24	0.065507088	0.005856611	480	480	1.000000000	24	23	0.958333333	480	454	0.945833333	480	0.259873562	-0.026258404	4478	4211	0.940375167
case_033	21	24	5.144545646	0.214356069	1	24	24	24	0.022781769	-0.010503530	480	478	0.995833333	24	24	1.000000000	478	443	0.926778243	478	0.236946322	0.066542231	4463	4243	0.950705803
case_034	26	26	15.638558790	0.601483030	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_035	26	24	2.594219104	0.108092463	1	24	24	24	0.019217369	-0.015289521	480	478	0.995833333	24	24	1.000000000	478	457	0.956066946	478	0.261040505	0.100482873	4451	4218	0.947652213
