ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
32768,32768,552.18,128,34.10,33.792,127,34.17,475014540
34816,2048,482.52,128,33.87,33.740,127,33.93,503203212
36864,2048,479.43,128,33.85,33.983,127,33.92,531391884
38912,2048,474.52,128,33.69,33.852,127,33.76,559580556
40960,2048,470.10,128,33.62,34.175,127,33.69,587769228
43008,2048,463.59,128,33.56,34.674,127,33.63,615957900
45056,2048,459.43,128,33.41,34.405,127,33.49,644146572
47104,2048,455.52,128,33.34,34.806,127,33.41,672335244
49152,2048,451.45,128,33.31,38.422,127,33.41,0
